Geneid,SRR085474,SRR085473,SRR085726,SRR085471,SRR087416,SRR085725
ADAM17,134,19,80,124,70,146
ADAM18,0,0,0,0,0,0
ADAM18_1,0,0,0,0,0,0
ADAM19,163,57,97,174,111,158
ADAM2,0,0,0,0,0,0
ADAM20,68,49,39,55,102,118
ADAM20P1,3,5,16,5,17,14
ADAM21,4,0,3,1,5,5
ADAM21P1,0,0,0,1,0,1
ADAM22,1051,140,469,929,517,1615
ADAM23,1033,75,463,905,588,770
ADAM28,42,9,9,55,8,37
ADAM29,7,0,0,3,1,0
ADAM2_1,0,0,0,0,0,0
ADAM30,0,0,0,0,0,0
ADAM32,0,0,0,0,0,0
ADAM32_1,1,0,0,0,0,0
ADAM33,48,116,81,81,61,59
ADAM3A,0,0,0,0,0,0
ADAM3B,0,0,0,0,0,1
ADAM5,0,0,0,0,0,0
ADAM5_1,0,0,0,0,0,0
ADAM6,0,0,0,0,0,0
ADAM6_1,0,0,0,0,0,0
ADAM7,0,0,0,0,0,0
ADAM7-AS1,0,1,0,1,0,0
ADAM7-AS2,0,0,0,0,0,0
ADAM8,24,8,47,23,44,45
ADAM9,199,32,61,143,56,234
ADAM9_1,0,0,0,0,0,0
ADAMDEC1,0,0,1,0,1,0
ADAMTS1,332,144,501,373,362,442
ADAMTS10,217,246,219,249,176,128
ADAMTS12,1,0,2,8,1,3
ADAMTS12_1,0,0,0,0,0,0
ADAMTS13,0,0,0,0,0,0
ADAMTS13_1,0,0,0,0,0,0
ADAMTS14,61,50,60,89,32,82
ADAMTS15,19,3,7,13,9,12
ADAMTS16,15,2,12,18,6,57
ADAMTS16-DT,7,5,27,9,27,73
ADAMTS17,71,29,18,66,35,32
ADAMTS18,45,5,33,56,22,184
ADAMTS19,33,7,22,23,29,16
ADAMTS19-AS1,3,0,0,2,0,0
ADAMTS2,42,12,79,22,80,47
ADAMTS20,0,0,0,1,1,0
ADAMTS2_1,0,0,0,0,0,0
ADAMTS3,56,4,39,49,25,31
ADAMTS4,774,96,363,526,284,541
ADAMTS5,14,6,6,18,6,99
ADAMTS6,6,3,2,12,4,7
ADAMTS7,5,13,3,12,12,12
ADAMTS7P1,0,0,0,0,1,1
ADAMTS7P1_1,0,1,0,1,0,1
ADAMTS8,235,46,245,369,199,114
ADAMTS9,35,19,148,59,140,192
ADAMTS9-AS1,8,0,8,7,6,4
ADAMTS9-AS2,5,1,6,7,1,3
ADAMTSL1,34,9,11,34,10,57
ADAMTSL2,340,85,271,262,216,208
ADAMTSL3,0,0,0,0,0,0
ADAMTSL3_1,0,0,0,0,0,0
ADAMTSL4,32,9,26,18,31,32
ADAMTSL4-AS1,0,0,0,1,1,0
ADAMTSL4-AS2,2,0,3,7,1,5
ADAMTSL5,30,16,20,12,9,13
ADAP1,966,624,1101,973,822,657
ADAP2,0,0,0,0,0,0
ADAP2_1,0,0,0,0,0,0
ADAR,2190,444,1645,1881,1385,1963
ADARB1,811,146,544,678,552,1074
ADARB2,568,170,462,491,283,439
ADARB2-AS1,36,20,72,13,41,19
ADAT1,170,47,52,166,76,126
ADAT2,44,5,26,52,37,58
ADAT3,11,35,35,21,18,19
ADCK1,149,104,112,185,105,96
ADCK2,365,76,267,356,212,234
ADCK5,0,0,0,0,0,0
ADCK5_1,0,0,0,0,0,0
ADCY1,3346,268,1204,2408,1161,2823
ADCY10,5,4,8,2,9,9
ADCY10P1,37,39,91,38,76,67
ADCY2,1466,333,676,1262,577,838
ADCY3,529,42,242,468,202,436
ADCY4,0,0,0,0,0,0
ADCY4_1,0,0,0,0,0,0
ADCY5,1322,325,1218,1132,909,894
ADCY6,540,192,428,534,401,558
ADCY6-DT,4,3,3,3,1,4
ADCY7,123,9,62,118,30,58
ADCY8,172,45,95,173,67,134
ADCY9,525,115,332,404,288,476
ADCYAP1,248,10,89,182,82,102
ADCYAP1R1,1481,691,901,1497,658,1165
ADD1,2358,891,1702,2307,1480,2108
ADD2,2312,348,1185,1998,1079,2061
ADD3,941,319,548,1015,425,1030
ADD3-AS1,11,9,13,20,6,6
ADGB,0,0,0,1,2,0
ADGB-DT,0,0,0,0,0,0
ADGRA1,789,212,693,757,713,492
ADGRA1-AS1,13,3,4,9,8,7
ADGRA2,158,59,109,203,92,134
ADGRA3,349,107,213,358,149,235
ADGRB1,1328,507,934,1398,827,752
ADGRB2,2394,633,1465,2355,1143,1385
ADGRB3,742,66,294,610,264,569
ADGRB3-DT,106,90,73,122,81,94
ADGRD1,26,20,52,38,45,54
ADGRD1-AS1,0,0,0,0,0,0
ADGRD2,1,0,0,0,0,2
ADGRE1,0,3,4,0,2,3
ADGRE2,23,11,18,18,20,21
ADGRE3,0,0,0,0,0,0
ADGRE4P,11,0,0,4,0,2
ADGRE5,151,68,106,152,110,121
ADGRF1,0,0,0,0,1,0
ADGRF2P,0,0,0,0,0,2
ADGRF3,8,1,7,7,7,12
ADGRF4,0,1,1,0,1,3
ADGRF5,275,31,152,253,129,221
ADGRF5-AS1,0,0,0,0,0,0
ADGRG1,1180,609,857,1418,657,1050
ADGRG2,10,3,0,7,3,0
ADGRG3,0,0,2,1,1,3
ADGRG4,0,0,0,0,1,0
ADGRG5,7,1,3,4,2,5
ADGRG6,36,5,10,20,4,31
ADGRG7,0,0,0,0,0,0
ADGRL1,0,0,0,0,0,0
ADGRL1-AS1,0,0,0,0,0,0
ADGRL1-AS1_1,0,0,0,0,0,0
ADGRL1_1,0,0,0,0,0,0
ADGRL2,462,42,301,444,252,321
ADGRL3,703,106,287,749,266,649
ADGRL3-AS1,0,0,2,0,0,0
ADGRL4,19,25,31,30,67,58
ADGRV1,466,162,205,582,132,298
ADH1A,0,0,0,0,0,0
ADH1B,2,7,14,10,14,17
ADH1C,0,0,1,1,0,0
ADH4,0,0,1,0,0,0
ADH5,242,65,198,287,181,224
ADH6,0,1,0,0,1,0
ADH7,0,0,0,0,0,0
ADHFE1,149,46,28,154,34,82
ADI1,47,13,24,53,15,40
ADI1_1,0,0,0,0,0,0
ADIG,0,0,0,0,0,0
ADIPINT,0,0,0,0,0,0
ADIPOQ,0,0,0,0,0,0
ADIPOQ-AS1,0,0,0,0,0,0
ADIPOR1,476,85,333,516,337,398
ADIPOR2,0,0,0,0,0,0
ADIPOR2_1,0,0,0,0,0,0
ADIRF,28,41,56,34,39,24
ADIRF-AS1,14,5,13,19,6,13
ADISSP,334,146,244,342,185,222
ADK,128,25,80,122,79,124
ADM,34,16,225,24,205,71
ADM2,1,1,0,0,3,2
ADM5,12,9,19,16,8,9
ADNP,795,142,574,745,460,801
ADNP-AS1,11,1,7,11,9,17
ADNP2,267,17,148,241,117,189
ADO,523,58,271,433,275,398
ADORA1,1033,412,805,940,603,642
ADORA2A,1,0,1,3,2,1
ADORA2A-AS1,5,4,22,5,16,8
ADORA2B,73,23,54,73,49,41
ADORA3,41,15,57,32,41,30
ADPGK,182,41,122,195,128,166
ADPGK-AS1,9,2,2,7,7,3
ADPRH,23,15,20,23,22,28
ADPRHL1,175,39,102,103,105,91
ADPRM,25,8,24,28,27,26
ADPRS,240,124,303,240,244,186
ADRA1A,151,19,65,137,65,118
ADRA1B,252,56,174,206,120,111
ADRA1D,72,1,12,71,15,32
ADRA2A,171,12,105,129,78,85
ADRA2B,8,8,65,7,38,15
ADRA2C,90,59,100,72,68,43
ADRB1,176,33,142,182,171,102
ADRB2,29,4,17,30,7,9
ADRB3,3,0,0,7,0,2
ADRM1,465,261,537,467,352,452
ADSL,232,40,139,243,155,176
ADSS1,68,29,37,65,34,35
ADSS2,277,54,207,319,232,248
ADTRP,31,8,39,46,37,29
AEBP1,413,405,693,357,433,501
AEBP2,205,98,196,184,186,263
AEN,106,66,164,105,120,98
AFAP1,436,64,181,371,152,365
AFAP1-AS1,8,5,6,11,3,12
AFAP1L1,60,11,41,37,32,40
AFAP1L2,344,82,237,353,242,384
AFDN,668,179,430,563,385,708
AFDN-DT,8,1,11,8,5,9
AFF1,252,44,143,219,121,262
AFF1-AS1,12,8,3,11,7,7
AFF2,247,15,116,186,77,328
AFF3,511,49,250,398,329,649
AFF4,755,105,428,661,370,1058
AFF4-DT,0,0,1,0,1,1
AFG1L,53,17,38,48,38,57
AFG2A,45,15,24,43,36,71
AFG2B,39,4,34,49,43,70
AFG3L1P,100,110,224,116,170,133
AFG3L2,296,23,121,270,120,253
AFM,0,0,0,0,0,0
AFMID,231,91,245,202,206,213
AFP,4,0,4,2,3,0
AFTPH,362,69,284,340,290,442
AFTPH-DT,11,1,5,8,8,8
AGA,99,18,26,120,22,68
AGA-DT,18,11,7,20,5,13
AGAP1,1977,575,1876,1614,1333,1770
AGAP1-IT1,4,1,5,2,4,2
AGAP10P,0,0,0,0,0,0
AGAP11,11,3,3,11,3,10
AGAP12P,0,0,0,0,0,0
AGAP12P_1,0,0,0,0,0,0
AGAP13P,0,0,1,0,1,0
AGAP14P,0,0,0,0,0,0
AGAP2,2396,649,1885,2197,1445,1866
AGAP2-AS1,7,17,22,15,11,8
AGAP3,1696,1266,2197,1716,1884,1468
AGAP4,0,0,0,0,1,2
AGAP5,2,0,1,0,1,3
AGAP6,4,0,0,0,0,0
AGAP7P,0,0,0,2,0,2
AGAP9,0,0,0,0,0,0
AGBL1,14,5,13,39,5,14
AGBL1-AS1,0,0,0,0,0,0
AGBL2,0,0,0,0,0,0
AGBL2_1,0,0,0,0,0,0
AGBL3,31,5,13,19,20,30
AGBL4,166,9,60,155,56,80
AGBL4-AS1,1,0,0,0,0,0
AGBL4-IT1,0,0,0,0,0,0
AGBL5,265,71,150,215,126,160
AGBL5-AS1,3,0,1,1,0,0
AGER,0,0,0,0,0,0
AGER_1,0,0,0,0,0,0
AGER_2,0,0,0,0,0,0
AGER_3,0,0,0,0,0,0
AGER_4,0,0,0,0,0,0
AGER_5,0,0,0,0,0,0
AGER_6,0,0,0,0,0,0
AGFG1,615,97,329,555,322,568
AGFG2,263,258,380,255,280,290
AGGF1,252,47,174,250,184,284
AGK,50,1,22,36,17,38
AGK-DT,6,3,6,7,11,5
AGK_1,0,0,0,0,0,0
AGL,157,40,47,178,75,292
AGMAT,44,2,10,50,16,10
AGMO,8,2,2,4,1,4
AGO1,806,328,420,720,413,687
AGO2,533,95,421,450,343,642
AGO3,245,72,204,229,206,339
AGO4,247,89,143,265,154,304
AGPAT1,0,0,11,6,8,5
AGPAT1_1,0,0,0,0,0,0
AGPAT1_2,0,0,0,0,0,0
AGPAT1_3,0,0,0,0,0,0
AGPAT1_4,0,0,0,0,0,0
AGPAT1_5,0,0,0,0,0,0
AGPAT1_6,0,0,0,0,0,0
AGPAT2,86,96,133,90,87,42
AGPAT3,1561,510,929,1510,862,1242
AGPAT4,897,244,525,823,430,619
AGPAT4-IT1,32,50,32,38,41,23
AGPAT5,0,0,0,0,0,0
AGPAT5_1,0,0,0,0,0,0
AGPS,299,41,167,288,197,302
AGR2,0,1,0,1,0,0
AGR3,0,0,0,0,1,0
AGRN,1414,579,1094,1421,811,735
AGRP,2,2,1,0,2,0
AGT,1124,469,532,1293,405,1264
